"OBJECTID","ULAND","UREGBEZ","UKREIS","UGEMEINDE","UJAHR","UMONAT","USTUNDE","UWOCHENTAG","UKATEGORIE","UART","UTYP1","IstStrasse","IstRad","IstPKW","IstFuss","IstKrad","IstSonstig","XGCSWGS84","YGCSWGS84"
49123,14,7,13,0,2016,10,22,3,3,5,3,0,1,1,0,0,0,12.391860242,51.3463820639999
49206,14,7,13,0,2016,10,6,2,3,5,3,1,1,1,0,0,0,12.376510471,51.314831517
49235,14,7,13,0,2016,9,7,4,3,5,3,0,1,1,0,0,0,12.399670901,51.328113917
49263,14,7,13,0,2016,12,7,3,3,5,3,1,1,1,0,0,0,12.414478297,51.3129696999999
49268,14,7,13,0,2016,10,11,3,3,5,3,0,1,0,0,0,1,12.381596948,51.343359499
49637,14,7,13,0,2016,11,17,6,3,5,3,1,1,1,0,0,0,12.389955401,51.346566252
49685,14,7,13,0,2016,11,11,5,2,5,2,0,1,1,0,0,0,12.39524858,51.341120122
49690,14,7,13,0,2016,10,20,3,3,4,2,1,1,1,0,0,0,12.395330263,51.339197937
49859,14,7,13,0,2016,12,17,5,3,4,2,0,1,1,0,0,0,12.405425875,51.319922702
49985,14,7,13,0,2016,11,14,7,3,1,2,0,1,1,0,0,0,12.42665729,51.303483041
50052,14,7,13,0,2016,11,5,3,3,5,3,0,1,1,0,0,0,12.285831031,51.3309437639999
50082,14,7,13,0,2016,10,9,3,3,5,3,0,1,1,0,0,0,12.389955496,51.3465664109999
50099,14,7,13,0,2016,11,19,6,3,5,3,1,1,1,0,0,0,12.344861039,51.339187604
50228,14,7,13,0,2016,11,15,2,3,5,2,0,1,0,0,0,0,12.3924506969999,51.34542221
50316,14,7,13,0,2016,10,6,2,3,3,2,1,1,1,0,0,0,12.353385294,51.341147188
50325,14,7,13,0,2016,10,6,3,3,5,3,1,1,1,0,0,0,12.3448830409999,51.3391923619999
50328,14,7,13,0,2016,12,19,2,3,5,3,0,1,0,0,0,1,12.394888068,51.342758684
50460,14,7,13,0,2016,10,11,6,3,3,2,0,1,0,0,0,0,12.4266368889999,51.303493699
50539,14,7,13,0,2016,11,15,4,3,5,2,0,1,1,0,0,0,12.3948473509999,51.3431838939999
50574,14,7,13,0,2016,12,17,4,2,6,6,1,1,0,1,0,0,12.3473490179999,51.339605374
50638,14,7,13,0,2016,12,12,7,3,5,3,0,1,1,0,0,0,12.394985432,51.3321579289999
50680,14,7,13,0,2016,11,16,7,3,4,2,1,1,1,0,0,0,12.394430363,51.336792283
50804,14,7,13,0,2016,11,7,5,3,5,2,0,1,1,0,0,0,12.43506348,51.351118479
122027,14,7,13,0,2016,1,23,4,3,3,6,1,1,1,0,0,0,12.3732299119999,51.314055285
122031,14,7,13,0,2016,1,15,6,3,0,1,1,1,0,0,0,0,12.4010064999999,51.342530414
122035,14,7,13,0,2016,1,14,7,3,0,5,0,1,1,0,0,0,12.294438738,51.358869241
122049,14,7,13,0,2016,1,11,3,3,5,3,2,1,1,0,0,0,12.3710647389999,51.338235928
122068,14,7,13,0,2016,1,17,6,3,4,6,0,1,1,0,0,0,12.384331589,51.3424332499999
122078,14,7,13,0,2016,1,8,3,3,3,6,0,1,0,0,0,1,12.365438206,51.3623953809999
122089,14,7,13,0,2016,1,17,7,3,5,3,1,1,1,0,0,0,12.3657125049999,51.363471804
122099,14,7,13,0,2016,1,14,3,3,9,5,1,1,0,0,0,1,12.406050963,51.34633213
122113,14,7,13,0,2016,1,9,5,3,5,5,1,1,1,0,0,0,12.40018041,51.3354193019999
122126,14,7,13,0,2016,1,15,5,3,3,2,0,1,1,0,0,0,12.373690671,51.320584207
122184,14,7,13,0,2016,1,15,1,3,3,7,1,1,1,0,0,0,12.373810174,51.3431262399999
122200,14,7,13,0,2016,1,5,6,3,5,3,1,1,1,0,0,0,12.378966795,51.345676931
122209,14,7,13,0,2016,1,10,1,3,1,3,1,1,1,0,0,0,12.3641987449999,51.3444165499999
122240,14,7,13,0,2016,1,17,2,3,5,3,1,1,1,0,0,0,12.358969954,51.358838665
122316,14,7,13,0,2016,1,17,5,2,5,2,1,1,1,0,0,0,12.388011354,51.338178509
122317,14,7,13,0,2016,1,20,6,3,4,2,1,1,1,0,0,0,12.370575591,51.361392602
122318,14,7,13,0,2016,1,11,4,3,5,2,1,1,1,0,0,0,12.384938672,51.33836067
122327,14,7,13,0,2016,1,7,4,3,5,3,1,1,1,0,0,0,12.388578601,51.325916822
122338,14,7,13,0,2016,1,10,4,2,2,6,1,1,1,0,0,0,12.4116965189999,51.342675661
122363,14,7,13,0,2016,1,9,3,3,3,2,1,1,1,0,0,0,12.376100393,51.348283352
122368,14,7,13,0,2016,2,16,3,3,5,3,1,1,1,0,0,0,12.365270604,51.323642311
122377,14,7,13,0,2016,2,7,2,3,5,3,1,1,1,0,0,0,12.417489344,51.316065977
122381,14,7,13,0,2016,1,19,3,3,4,2,0,1,1,0,0,0,12.363894732,51.332210375
122383,14,7,13,0,2016,2,13,3,3,5,2,1,1,1,0,0,0,12.444493346,51.326442518
122384,14,7,13,0,2016,1,9,3,3,3,2,1,1,1,0,0,0,12.335876084,51.3192459859999
122390,14,7,13,0,2016,2,14,2,3,4,6,0,1,1,0,0,0,12.365587482,51.35918281
122396,14,7,13,0,2016,1,7,3,3,5,3,2,1,1,0,0,0,12.404277486,51.3036806349999
122400,14,7,13,0,2016,2,14,2,2,0,5,0,1,1,0,0,0,12.368356733,51.361788011
122401,14,7,13,0,2016,1,18,3,3,5,3,0,1,1,0,0,0,12.327178489,51.3296388529999
122431,14,7,13,0,2016,2,19,6,3,0,5,1,1,1,0,0,0,12.389904908,51.3445828099999
122434,14,7,13,0,2016,2,19,4,3,5,3,0,1,1,0,0,0,12.370043554,51.331710931
122438,14,7,13,0,2016,1,18,5,2,3,6,0,1,1,0,0,0,12.3219219629999,51.30381242
122440,14,7,13,0,2016,1,11,6,3,5,3,0,1,1,0,0,0,12.3733708979999,51.310658324
122441,14,7,13,0,2016,1,5,5,2,5,3,0,1,1,0,0,0,12.445673183,51.351599874
122442,14,7,13,0,2016,2,7,4,2,3,2,1,1,0,0,0,0,12.396368062,51.3102427359999
122445,14,7,13,0,2016,2,11,6,2,1,5,0,1,1,0,0,0,12.325358266,51.345018883
122446,14,7,13,0,2016,1,19,5,3,5,3,0,1,1,0,0,0,12.3504934409999,51.3325693669999
122471,14,7,13,0,2016,1,19,1,3,5,3,0,1,1,0,0,0,12.414584121,51.3240681529999
122474,14,7,13,0,2016,2,14,7,3,5,3,0,1,1,0,0,0,12.262856886,51.347866803
122485,14,7,13,0,2016,2,10,6,2,1,3,0,1,1,0,0,0,12.376807393,51.321736584
122503,14,7,13,0,2016,2,19,4,3,2,2,0,1,1,0,0,0,12.334200042,51.3193647339999
122512,14,7,13,0,2016,2,7,3,3,5,2,1,1,1,0,0,0,12.400445766,51.3458225259999
122519,14,7,13,0,2016,2,21,7,3,3,6,0,1,1,0,0,0,12.40097618,51.3078564719999
122523,14,7,13,0,2016,1,16,2,2,3,6,1,1,1,0,0,0,12.327646632,51.3413583789999
122525,14,7,13,0,2016,2,19,3,3,5,2,1,1,1,0,0,0,12.376534132,51.348389287
122535,14,7,13,0,2016,1,15,4,3,5,3,0,1,1,0,0,0,12.3769063569999,51.3566467579999
122536,14,7,13,0,2016,2,15,3,3,3,6,0,1,1,0,0,0,12.335711137,51.322140109
122541,14,7,13,0,2016,2,14,3,3,5,3,1,1,1,0,0,0,12.3768350599999,51.3462158669999
122554,14,7,13,0,2016,2,8,6,2,5,3,0,1,1,0,0,0,12.443970428,51.304043415
122555,14,7,13,0,2016,2,13,4,3,5,3,0,1,1,0,0,0,12.357118385,51.3428898279999
122557,14,7,13,0,2016,2,9,5,3,5,3,1,1,1,0,0,0,12.38200348,51.336583273
122562,14,7,13,0,2016,2,8,2,3,5,3,0,1,0,0,0,0,12.374145682,51.339887459
122563,14,7,13,0,2016,2,9,2,3,1,3,0,1,1,0,0,0,12.3641522169999,51.3444065979999
122567,14,7,13,0,2016,2,20,4,3,5,2,0,1,1,0,0,0,12.37140656,51.331573618
122568,14,7,13,0,2016,2,20,1,2,0,1,0,1,0,0,0,0,12.378455116,51.319709678
122569,14,7,13,0,2016,2,11,5,3,5,3,0,1,1,0,0,0,12.353351908,51.3196171849999
122573,14,7,13,0,2016,2,14,2,3,5,3,1,1,0,0,0,1,12.3893929259999,51.335835217
122576,14,7,13,0,2016,2,12,6,3,5,3,0,1,1,0,0,0,12.376610077,51.314768586
122578,14,7,13,0,2016,2,12,1,3,5,3,0,1,1,0,0,0,12.422111877,51.31963503
122584,14,7,13,0,2016,2,9,5,3,5,3,0,1,1,0,0,0,12.368126043,51.334887209
